timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
1717675242644.0,409.0,267.0,113.0,93.0,203.0,35.0
1717675242645.0,403.0,263.0,111.0,92.0,199.0,34.0
1717675242717.0,327.0,221.0,94.0,77.0,240.0,33.0
1717675243051.0,248.0,366.0,91.0,84.0,263.0,56.0
1717675243178.0,169.0,335.0,113.0,103.0,188.0,47.0
1717675248210.0,239.0,92.0,83.0,90.0,228.0,34.0
1717675248229.0,221.0,86.0,78.0,83.0,212.0,39.0
1717675248293.0,183.0,180.0,65.0,71.0,231.0,47.0
1717675248459.0,252.0,226.0,71.0,70.0,222.0,94.0
1717675248582.0,359.0,184.0,61.0,129.0,255.0,62.0
1717675248614.0,319.0,321.0,57.0,115.0,231.0,57.0
1717675248656.0,287.0,288.0,52.0,104.0,211.0,63.0
1717675248714.0,302.0,220.0,43.0,130.0,221.0,63.0
1717675248765.0,291.0,297.0,39.0,112.0,192.0,69.0
1717675248805.0,418.0,257.0,81.0,154.0,215.0,60.0
1717675248824.0,395.0,246.0,78.0,146.0,205.0,58.0
1717675248947.0,303.0,286.0,56.0,126.0,205.0,65.0
1717675248989.0,450.0,327.0,46.0,192.0,166.0,52.0
1717675249095.0,481.0,244.0,49.0,142.0,217.0,69.0
1717675249113.0,436.0,304.0,45.0,131.0,203.0,63.0
1717675249142.0,696.0,303.0,41.0,124.0,183.0,57.0
1717675249214.0,627.0,352.0,33.0,99.0,149.0,46.0
1717675249346.0,382.0,249.0,84.0,71.0,207.0,35.0
1717675249349.0,346.0,228.0,78.0,65.0,190.0,97.0
1717675249403.0,597.0,295.0,71.0,61.0,178.0,91.0
1717675249533.0,561.0,229.0,47.0,64.0,198.0,61.0
1717675249583.0,497.0,208.0,43.0,58.0,180.0,56.0
1717675249584.0,494.0,207.0,43.0,88.0,179.0,56.0
1717675249590.0,410.0,182.0,60.0,95.0,178.0,57.0
1717675249642.0,516.0,263.0,59.0,82.0,297.0,49.0
1717675250180.0,318.0,268.0,34.0,97.0,120.0,75.0
1717675250653.0,553.0,312.0,45.0,90.0,145.0,89.0
1717675250683.0,537.0,305.0,44.0,88.0,143.0,88.0
1717675250790.0,332.0,278.0,30.0,183.0,192.0,60.0
1717675250792.0,319.0,267.0,30.0,173.0,184.0,105.0
1717675250948.0,578.0,193.0,31.0,142.0,231.0,65.0
1717675250949.0,572.0,192.0,31.0,141.0,230.0,65.0
1717675250999.0,620.0,165.0,45.0,119.0,240.0,56.0
1717675251038.0,487.0,200.0,38.0,137.0,203.0,48.0
1717675251052.0,463.0,192.0,36.0,131.0,195.0,47.0
1717675251067.0,440.0,184.0,35.0,126.0,188.0,44.0
1717675251181.0,387.0,185.0,38.0,124.0,287.0,33.0
1717675251245.0,319.0,214.0,41.0,133.0,241.0,83.0
1717675251246.0,515.0,210.0,71.0,131.0,238.0,83.0
1717675251300.0,380.0,228.0,57.0,104.0,273.0,66.0
1717675251350.0,659.0,391.0,101.0,124.0,231.0,56.0
1717675251660.0,700.0,201.0,60.0,122.0,176.0,88.0
1717675251690.0,616.0,230.0,59.0,143.0,159.0,78.0
1717675251872.0,366.0,323.0,76.0,105.0,196.0,113.0
1717675251894.0,332.0,295.0,70.0,97.0,177.0,103.0
1717675252015.0,247.0,217.0,54.0,97.0,166.0,84.0
1717675252032.0,316.0,199.0,49.0,91.0,151.0,76.0
1717675252102.0,248.0,208.0,43.0,109.0,123.0,62.0
1717675252169.0,204.0,166.0,35.0,87.0,152.0,50.0
1717675252302.0,334.0,294.0,37.0,81.0,273.0,50.0
1717675252514.0,505.0,287.0,94.0,83.0,254.0,63.0
1717675252553.0,406.0,240.0,79.0,99.0,216.0,53.0
1717675252601.0,355.0,214.0,71.0,88.0,203.0,160.0
1717675252656.0,535.0,184.0,60.0,84.0,211.0,135.0
1717675252778.0,329.0,172.0,46.0,135.0,221.0,93.0
1717675252835.0,570.0,286.0,39.0,108.0,179.0,77.0
1717675252879.0,457.0,241.0,34.0,124.0,185.0,67.0
1717675252962.0,504.0,335.0,70.0,96.0,146.0,63.0
1717675253128.0,313.0,255.0,44.0,95.0,203.0,40.0
1717675253129.0,594.0,244.0,41.0,89.0,192.0,39.0
1717675253175.0,467.0,260.0,35.0,76.0,235.0,123.0
1717675253196.0,420.0,238.0,43.0,69.0,216.0,112.0
1717675253425.0,267.0,159.0,71.0,103.0,208.0,56.0
1717675253426.0,262.0,157.0,71.0,101.0,204.0,56.0
1717675253441.0,311.0,150.0,67.0,96.0,194.0,53.0
1717675253531.0,433.0,260.0,90.0,139.0,151.0,41.0
1717675253549.0,408.0,248.0,87.0,145.0,144.0,39.0
1717675253922.0,305.0,269.0,50.0,158.0,204.0,121.0
1717675254044.0,236.0,207.0,63.0,103.0,224.0,115.0
1717675254117.0,284.0,272.0,50.0,131.0,297.0,89.0
1717675254210.0,364.0,271.0,99.0,99.0,225.0,76.0
1717675254236.0,579.0,311.0,88.0,145.0,201.0,67.0
1717675254253.0,560.0,304.0,86.0,143.0,198.0,65.0
1717675254254.0,548.0,299.0,86.0,140.0,195.0,65.0
1717675254273.0,481.0,271.0,78.0,127.0,180.0,60.0
1717675254300.0,439.0,252.0,73.0,120.0,172.0,56.0
1717675254317.0,420.0,243.0,71.0,120.0,190.0,55.0
1717675254479.0,494.0,241.0,42.0,72.0,172.0,41.0
1717675254530.0,495.0,265.0,41.0,71.0,190.0,36.0
1717675254560.0,455.0,248.0,39.0,67.0,179.0,33.0
1717675254658.0,352.0,294.0,43.0,149.0,198.0,114.0
1717675254709.0,303.0,259.0,38.0,132.0,176.0,102.0
1717675254997.0,292.0,254.0,65.0,116.0,169.0,118.0
1717675255129.0,540.0,306.0,48.0,76.0,175.0,76.0
1717675255182.0,406.0,248.0,66.0,89.0,176.0,62.0
1717675255245.0,350.0,206.0,54.0,134.0,143.0,51.0
1717675255334.0,273.0,167.0,42.0,147.0,369.0,39.0
1717675255368.0,240.0,159.0,36.0,127.0,315.0,76.0
1717675255405.0,263.0,142.0,32.0,110.0,272.0,63.0
1717675255530.0,196.0,139.0,22.0,76.0,262.0,98.0
1717675260613.0,166.0,60.0,22.0,123.0,159.0,32.0
1717675260632.0,160.0,51.0,28.0,108.0,179.0,76.0
1717675260671.0,285.0,52.0,36.0,99.0,220.0,70.0
1717675260776.0,342.0,174.0,25.0,116.0,198.0,54.0
1717675260777.0,321.0,164.0,25.0,112.0,190.0,52.0
1717675260937.0,186.0,133.0,56.0,73.0,255.0,31.0
1717675261085.0,238.0,139.0,81.0,83.0,254.0,71.0
1717675261138.0,217.0,169.0,73.0,76.0,233.0,63.0
